Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
7,Jarrett Allen,C,25,CLE,77,77,2442,10.5,16.6,.634,0.0,0.1,.000,10.5,16.4,.638,4.7,6.4,.742,4.9,11.5,16.4,4.2,1.1,1.6,2.4,3.0,25.7,,131,110,allenja01
8,Timmy Allen,SF,24,MEM,5,0,125,2.3,9.0,.261,0.0,2.7,.000,2.3,6.3,.375,0.4,0.8,.500,1.6,5.1,6.6,2.0,1.6,0.0,0.8,7.0,5.1,,73,117,allenti01
9,Jose Alvarado,PG,25,NOP,56,0,1028,6.8,16.5,.412,3.7,9.9,.377,3.1,6.6,.464,1.7,2.5,.673,1.2,4.9,6.1,5.6,2.8,0.7,1.9,4.2,18.9,,112,112,alvarjo01
10,Kyle Anderson,PF,30,MIN,79,10,1782,5.5,12.0,.460,0.3,1.3,.229,5.2,10.7,.488,2.7,3.8,.708,1.7,5.9,7.6,9.2,2.0,1.3,2.5,3.6,14.0,,114,109,anderky01
11,Giannis Antetokounmpo,PF,29,MIL,73,73,2567,15.7,25.6,.611,0.6,2.3,.274,15.0,23.3,.645,9.6,14.6,.657,3.7,12.1,15.7,8.9,1.6,1.5,4.7,3.9,41.6,,126,112,antetgi01
12,Thanasis Antetokounmpo,PF,31,MIL,34,0,155,5.0,9.3,.533,0.0,0.3,.000,5.0,9.0,.552,0.0,0.6,.000,2.2,1.9,4.0,5.3,2.2,1.2,4.3,7.4,9.9,,92,117,antetth01
13,Cole Anthony,PG,23,ORL,81,0,1817,9.0,20.8,.435,2.5,7.5,.338,6.5,13.3,.490,4.9,5.9,.826,1.7,6.7,8.5,6.4,1.7,1.0,3.4,4.8,25.5,,110,111,anthoco01
14,OG Anunoby,SF,26,TOT,50,50,1702,8.2,16.7,.489,3.0,7.7,.382,5.2,9.0,.581,1.9,2.6,.753,1.4,4.7,6.0,3.1,2.0,1.0,2.3,3.4,21.2,,113,117,anunoog01
14,OG Anunoby,SF,26,TOR,27,27,900,8.4,17.2,.489,3.3,8.7,.374,5.2,8.5,.608,1.8,2.5,.717,1.3,4.4,5.7,3.9,1.5,0.7,2.3,3.3,21.9,,113,121,anunoog01
14,OG Anunoby,SF,26,NYK,23,23,802,7.9,16.1,.488,2.6,6.5,.394,5.3,9.6,.553,2.1,2.7,.791,1.4,5.0,6.4,2.2,2.5,1.4,2.4,3.6,20.4,,113,112,anunoog01
15,Ryan Arcidiacono,PG,29,NYK,20,0,45,0.0,6.7,.000,0.0,6.7,.000,0.0,0.0,,0.0,0.0,,0.0,9.0,9.0,4.5,2.2,0.0,2.2,5.6,0.0,,33,112,arcidry01
16,Deni Avdija,SF,23,WAS,75,75,2257,8.4,16.6,.506,1.8,4.9,.374,6.6,11.8,.560,4.2,5.7,.740,1.7,9.4,11.2,5.9,1.2,0.7,3.3,3.8,22.8,,112,119,avdijde01
17,Deandre Ayton,C,25,POR,55,55,1784,11.8,20.7,.570,0.0,0.3,.100,11.8,20.5,.576,1.8,2.2,.823,4.9,12.0,16.9,2.5,1.5,1.2,2.7,3.0,25.5,,115,114,aytonde01
18,Udoka Azubuike,C,24,PHO,16,0,113,6.9,9.9,.696,0.0,0.0,,6.9,9.9,.696,1.3,5.6,.231,4.8,9.1,13.8,1.3,0.4,2.6,1.7,7.3,15.1,,118,114,azubuud01
19,Ibou Badji,C,21,POR,22,1,226,3.1,4.8,.636,0.0,0.0,,3.1,4.8,.636,1.3,2.6,.500,4.4,6.8,11.1,2.8,0.7,4.4,3.3,10.0,7.4,,104,115,badjiib01
20,Marvin Bagley III,C,24,TOT,50,25,1053,10.8,18.4,.586,0.4,1.0,.391,10.3,17.3,.597,4.3,5.7,.762,5.8,8.2,14.0,2.5,0.9,1.5,2.7,3.6,26.2,,122,119,baglema01
20,Marvin Bagley III,C,24,DET,26,10,478,10.8,18.2,.591,0.1,0.6,.167,10.7,17.6,.606,5.0,6.1,.820,4.6,7.2,11.9,2.7,0.5,1.4,2.9,4.0,26.7,,122,120,baglema01
20,Marvin Bagley III,C,24,WAS,24,15,575,10.7,18.5,.581,0.7,1.4,.471,10.1,17.1,.590,3.7,5.3,.708,6.8,8.9,15.8,2.3,1.2,1.5,2.4,3.3,25.9,,123,118,baglema01
21,Amari Bailey,PG,19,CHO,10,0,65,6.1,18.2,.333,0.8,6.1,.125,5.3,12.1,.438,4.6,5.3,.857,4.6,2.3,6.8,5.3,2.3,0.0,3.0,1.5,17.5,,96,122,baileam01
22,Patrick Baldwin Jr.,SF,21,WAS,38,7,493,5.6,14.7,.381,2.9,9.2,.320,2.7,5.5,.483,1.8,2.7,.679,1.6,10.1,11.7,2.8,1.7,1.4,1.8,5.3,15.9,,100,116,baldwpa01
23,LaMelo Ball,PG,22,CHO,22,22,711,12.7,29.4,.433,4.9,13.7,.355,7.8,15.7,.500,6.2,7.2,.865,2.0,5.8,7.8,12.2,2.8,0.3,5.8,5.5,36.5,,110,118,ballla01
24,Mo Bamba,C,25,PHI,57,17,740,6.5,13.2,.490,1.7,4.3,.391,4.8,8.9,.537,2.3,3.3,.680,5.1,10.7,15.8,2.7,1.5,4.0,2.6,6.7,16.8,,116,109,bambamo01
25,Paolo Banchero,PF,21,ORL,80,80,2799,11.3,24.9,.455,2.1,6.2,.339,9.2,18.7,.493,7.2,9.9,.725,1.5,8.3,9.8,7.6,1.3,0.8,4.4,2.7,31.9,,109,112,banchpa01
26,Desmond Bane,SG,25,MEM,42,42,1443,12.2,26.3,.464,4.6,12.2,.381,7.6,14.1,.536,4.7,5.5,.870,1.2,5.0,6.3,7.8,1.5,0.7,3.8,4.1,33.8,,114,116,banede01
27,Dalano Banton,PG,24,TOT,54,9,1047,9.5,23.6,.404,2.8,9.4,.296,6.7,14.2,.475,4.4,5.7,.783,1.9,6.5,8.4,6.0,1.6,0.9,3.6,3.0,26.3,,103,117,bantoda01
27,Dalano Banton,PG,24,BOS,24,1,171,5.5,14.7,.373,0.6,4.6,.125,4.9,10.1,.486,4.6,5.8,.800,3.5,6.6,10.1,5.5,1.4,0.9,2.9,5.8,16.2,,106,113,bantoda01
27,Dalano Banton,PG,24,POR,30,8,876,10.3,25.3,.408,3.2,10.3,.311,7.1,15.0,.474,4.4,5.6,.780,1.6,6.4,8.1,6.1,1.6,1.0,3.8,2.5,28.2,,103,117,bantoda01
28,Dominick Barlow,PF,20,SAS,33,1,420,6.3,12.8,.496,0.3,1.0,.333,6.0,11.8,.510,3.3,4.7,.690,5.1,7.7,12.8,4.1,1.4,1.6,1.0,5.3,16.3,,125,116,barlodo01
